source_path,destination_path,category,reason,size_bytes,migration_method,notes
evidence_miqp_3input_final_yaw_2026_07_06_180804/source_files/miqp_online_receding_deepc_controller_FINAL_3INPUT_YAW.py,src/physical/online_receding_controller_final.py,CORE,Exact final physical online controller,17104,COPY,SHA256 7bd5eaddda364b3f3124873038c0e3649e6237de032720b08ebd8c4a93ace423; portable path fix required later.
evidence_miqp_3input_final_yaw_2026_07_06_180804/source_files/deepc_ui_node_FINAL_YAW_UI.py,src/physical/final_yaw_ui.py,CORE,Exact final-yaw ROS2/Tkinter UI,36367,COPY,SHA256 1c3c733241ccc893d7bd8150a8e0811fb95d564e07ccf713e0f72a4821e7ca0b.
final_deepc_student/target_suite_recovery/controllers/final_receding_deepc.py,src/deepc/genesis_recovered_deepc.py,CORE,Selected Genesis receding DeePC controller,11963,COPY,Imports geometry Hankel and QP modules after namespace rewrite.
final_deepc_student/target_suite_recovery/controllers/direct_student_runtime.py,src/learned_execution/direct_student_runtime.py,CORE,Selected direct frozen-student runtime,14021,COPY,Path to linear_bc_common and checkpoint must be normalized.
catastrophic_command_safety_v2/final_safety_refinement/pre_s6_minimal_safety_fix/run_minimal_safety_fix_search.py,src/learned_execution/candidate_qp.py,CORE,Frozen candidate QP with solver-side C2 and vx limits,89980,COPY,Preserve no post-solver command rewriting.
catastrophic_command_safety_v2/final_safety_refinement/final_champion_genesis_ui/frozen_controller.py,src/learned_execution/frozen_champion_controller.py,CORE,Selected C2_PLUS_VX champion adapter,18040,COPY,Dynamically loads candidate QP and verifies freeze hashes.
catastrophic_command_safety_v2/final_safety_refinement/final_champion_genesis_ui/physical_guard.py,src/learned_execution/genesis_guard.py,CORE,Genesis-only physical-use guard,2713,COPY,Keep guard behavior and Genesis-only assertion.
final_deepc_student/live_ui/app/genesis_window.py,src/learned_execution/genesis_window.py,CORE,Final Genesis viewer scene,10582,COPY,Requires Genesis 1.3.1 assets and temporary cache path rewrite.
final_deepc_student/live_ui/app/ui_state.py,src/learned_execution/ui_state.py,CORE,Final live UI state and pose helpers,4115,COPY,Used by live product and UI canvas.
final_deepc_student/live_ui/app/ui_runtime_bridge.py,src/learned_execution/ui_runtime_bridge.py,CORE,Final UI runtime bridge,13598,COPY,Preserve command identity checks.
final_deepc_student/live_ui/app/final_deepc_ui.py,src/learned_execution/final_deepc_ui.py,CORE,Final target and heading UI,30851,COPY,Requires Tkinter and ui_canvas dependency.
final_deepc_student/live_ui/scripts/run_live_product.py,scripts/genesis/run_live_product.py,CORE,Final live product launcher,36228,COPY,Imports the selected runtime chain after path cleanup.
student_bc/linear_output_revision/scripts/linear_bc_common.py,src/learned_execution/linear_bc_common.py,CORE,Frozen student dimensions decoder and normalization constants,11576,COPY,Defines 48 input and 12 output contract.
evidence_miqp_3input_final_yaw_2026_07_06_180804/hankels/dog2_vxyyaw_hankel_Tini10_N20_BACKWARD_2026_07_06.npz,data/physical/hankel/dog2_vxyyaw_hankel_Tini10_N20_BACKWARD_2026_07_06.npz,CORE,Final physical backward Hankel bank,10221512,COPY,SHA256 6928fa66425ddc65399080d27acac42042b70bdedd645bfa460b80b0538b3cf7.
evidence_miqp_3input_final_yaw_2026_07_06_180804/hankels/dog2_vxyyaw_hankel_Tini10_N20_BALANCED_YAW_BACK_2026_07_06.npz,data/physical/hankel/dog2_vxyyaw_hankel_Tini10_N20_BALANCED_YAW_BACK_2026_07_06.npz,CORE,Final balanced yaw physical Hankel bank,2595272,COPY,SHA256 0ad50305d200811eab41008f242630f8e4ead592f0a9bda2f5527678499073f3.
final_deepc_student/target_suite_recovery/data/hankel/final_student_deepc_hankel_v2_stride2.npz,data/imitation/hankel/final_student_deepc_hankel_v2_stride2.npz,CORE,Final Genesis student DeePC Hankel bank,377543,COPY,SHA256 5ece444b2d82a75df6b751809d2b5f5c1aacfe06cc69a0919fa21532804bfb7b.
student_bc/linear_output_revision/checkpoints/final/go2_observable_student_bc_linear_v1.pt,models/go2_observable_student_bc_linear_v1.pt,CORE,Final learned student checkpoint,333509,COPY,SHA256 6169c02e924dfb09078d9cba63e4071abd11a477ab2b104e92506df7ce0ed7cc; normal Git is reasonable.
scripts/evaluate_command_bc_genesis.py,src/learned_execution/genesis_deployment_scene.py,CORE,Genesis deployment scene required by final benchmark,92710,COPY,Top-level imports require the two root helper modules added below.
catastrophic_command_safety_v2/final_safety_refinement/pre_s6_minimal_safety_fix/candidate_config.json,configs/genesis/candidate_config.json,CORE,Frozen C2_PLUS_VX candidate configuration,3171,COPY,SHA256 164230755a3cb3371453f9133223ceddffb7fb09ff794a51e0a6898aa691f827.
final_deepc_student/target_suite_recovery/configs/deepc_final_recovered.json,configs/genesis/deepc_final_recovered.json,CORE,Frozen recovered DeePC configuration,1229,COPY,SHA256 e1e105316ebc6a5b7f66e15821ec2e780eacda306b0711d9e478dc912c9ddd26.
catastrophic_command_safety_v2/configs/frozen_runtime_contract.json,configs/genesis/frozen_runtime_contract.json,CORE,Frozen Genesis runtime contract,16440,COPY,SHA256 55ad3104db92a90a91e3dbefae5b1ac7344504ba2d29a1a76edf0de077ffd78b.
final_deepc_student/live_ui/configs/ui_config.json,configs/genesis/ui_config.json,CORE,Final live UI configuration,1386,COPY,SHA256 7f6d8ac0de2241357fffaadbd5fcf5f63792be3d13faa287b9612baa0249c19e.
deadzoneQuantized/build_dog2_vxyyaw_hankel.py,scripts/physical/build_vxyyaw_hankel.py,REPRODUCIBILITY,Physical Hankel build recipe,2904,COPY,Recipe has relative working-directory assumptions and must be parameterized later.
deadzoneQuantized/correct_center_and_rebuild_hankel.py,,REPRODUCIBILITY,Older 2-input center-correction script does not rebuild the selected 3-input banks,9562,OMIT_AFTER_REVIEW,Keep the selected center report and final banks only.
collect_dog2_vxyyaw_dataset.py,scripts/physical/collect_vxyyaw_dataset.py,REPRODUCIBILITY,Physical increment-data collection helper,2222,COPY,Path and output names require later configuration cleanup.
deadzoneQuantized/go2_center_correction_report.json,results/physical/go2_center_correction_report.json,REPRODUCIBILITY,Center-correction provenance required by physical online source,2887,COPY,Not a physical run-success denominator.
final_deepc_student/target_suite_recovery/scripts/validate_direct_student_interface.py,scripts/genesis/validate_direct_student_interface.py,REPRODUCIBILITY,Selected student and DeePC interface check,8642,COPY,Retain as pre-benchmark validation.
final_deepc_student/target_suite_recovery/scripts/finalize_reports.py,,REPRODUCIBILITY,Redundant report-finalization helper,15306,OMIT_AFTER_REVIEW,Final selected reports are already preserved and can be regenerated by benchmark code.
final_deepc_student/live_ui/benchmarks/final_champion_benchmark.py,scripts/genesis/final_champion_benchmark.py,REPRODUCIBILITY,Exact 43-case C2_PLUS_VX benchmark harness,54075,COPY,SHA256 458ba60c49e921dd87a135659e4fcf13f63faba362cebcf8888f470017f1f145.
catastrophic_command_safety_v2/final_safety_refinement/final_champion_genesis_ui/run_ui_integration.py,,REPRODUCIBILITY,Internal UI integration audit harness,53796,OMIT_AFTER_REVIEW,Not required for the frozen headless benchmark and imports extra internal audit modules.
catastrophic_command_safety_v2/runtime_recovery/r3_python312_genesis131/reconstruction/recovery_launcher.py,,REPRODUCIBILITY,Machine-local recovery environment launcher,1970,OMIT_AFTER_REVIEW,Replace with documented environment setup rather than migrating a venv launcher.
catastrophic_command_safety_v2/final_safety_refinement/pre_s6_minimal_safety_fix/candidate_decision.json,results/genesis/audits/candidate_decision.json,REPRODUCIBILITY,Frozen candidate selection record,1874,COPY,Loaded by frozen_controller identity checks.
catastrophic_command_safety_v2/final_safety_refinement/pre_s6_minimal_safety_final_validation/final_constraint_audit.json,results/genesis/audits/final_constraint_audit.json,REPRODUCIBILITY,Final active-constraint audit,1177,COPY,Loaded by frozen_controller identity checks.
expert_imitation_dataset/scripts/collect_expert_dataset.py,scripts/imitation_learning/collect_expert_dataset.py,REPRODUCIBILITY,120-episode expert dataset collector,45227,COPY,Requires Genesis compatibility and student-contract modules.
expert_imitation_dataset/scripts/dataset_common.py,scripts/imitation_learning/dataset_common.py,REPRODUCIBILITY,Dataset hashing and environment helpers,6435,COPY,Used by collector and validator.
expert_imitation_dataset/scripts/validate_expert_dataset.py,scripts/imitation_learning/validate_expert_dataset.py,REPRODUCIBILITY,Dataset schema and safety validator,42864,COPY,Requires compatibility reports and contracts.
expert_imitation_dataset/scripts/build_episode_splits.py,scripts/imitation_learning/build_episode_splits.py,REPRODUCIBILITY,Deterministic episode-disjoint split builder,19358,COPY,Produces the retained split index artifacts.
expert_imitation_dataset/frozen_contract/dataset_schema.md,docs/dataset_schema.md,REPRODUCIBILITY,Frozen processed dataset schema,4236,COPY,Normal Git documentation.
expert_imitation_dataset/frozen_contract/expert_contract_reference.md,docs/expert_contract_reference.md,REPRODUCIBILITY,Frozen expert artifact contract,3068,COPY,Normal Git documentation.
expert_imitation_dataset/frozen_contract/student_observation_contract.md,docs/student_observation_contract.md,REPRODUCIBILITY,Frozen observable student contract,6324,COPY,Update internal source link after migration.
expert_imitation_dataset/manifests/collection_config.json,configs/imitation/collection_config.json,REPRODUCIBILITY,Collection parameters and seed,1034,COPY,120 episodes at 50 Hz and 2000 steps each.
expert_imitation_dataset/manifests/split_manifest.json,configs/imitation/split_manifest.json,REPRODUCIBILITY,Episode split specification,5061,COPY,80/10/10 split with seed 20260816.
expert_imitation_dataset/manifests/episode_manifest.json,,REPRODUCIBILITY,Raw-episode manifest not needed when raw episodes are omitted,999431,OMIT_AFTER_REVIEW,Retain only in local provenance archive.
expert_imitation_dataset/manifests/dataset_hashes.json,configs/imitation/dataset_hashes.json,REPRODUCIBILITY,Dataset hash manifest,17502,COPY,Keep canonical processed SHA.
expert_imitation_dataset/manifests/expert_artifact_manifest.json,configs/imitation/expert_artifact_manifest.json,REPRODUCIBILITY,Expert and external asset provenance,10474,COPY,Keep source and environment hashes.
expert_imitation_dataset/raw/episode_*.npz,,REPRODUCIBILITY,Raw episodes are redundant for reproducing BC from the canonical processed data,248955375,OMIT_AFTER_REVIEW,120 files remain local or may be regenerated from collection instructions.
expert_imitation_dataset/processed/expert_imitation_dataset_v1.npz,data/imitation/expert_imitation_dataset_v1.npz,REPRODUCIBILITY,Canonical 240000-transition BC dataset,246636478,EXTERNAL_ARCHIVE,Distribute as one GitHub Release asset; never place in normal Git history; SHA256 7c6da8cf8987711f099d01976b594b3119322158c3f750f4cdd71158c9c4ac99.
expert_policy_validation/mjlab_genesis_visual_transfer/artifacts/model_500.pt,models/expert_model_500.pt,REPRODUCIBILITY,Expert checkpoint used for collection,4569571,EXTERNAL_ARCHIVE,Distribute with the dataset release only if its upstream license permits; SHA256 c5d125be84ecedf8c6d89ece8d12d7c1d6d8d081f304da3dd12f734944248eb3.
expert_policy_validation/mjlab_genesis_visual_transfer/configs/agent.yaml,configs/imitation/expert/agent.yaml,REPRODUCIBILITY,Expert agent configuration,936,COPY,Referenced by expert artifact manifest.
expert_policy_validation/mjlab_genesis_visual_transfer/configs/deploy.yaml,configs/imitation/expert/deploy.yaml,REPRODUCIBILITY,Expert deployment configuration,1392,COPY,Referenced by expert artifact manifest.
expert_policy_validation/mjlab_genesis_visual_transfer/configs/env.yaml,configs/imitation/expert/env.yaml,REPRODUCIBILITY,Expert environment configuration,22339,COPY,Genesis version assumptions remain.
expert_policy_validation/mjlab_genesis_visual_transfer/artifacts/policy.onnx,,REPRODUCIBILITY,Auxiliary ONNX artifact is not used by selected collector or student runtime,14196,OMIT_AFTER_REVIEW,Keep only in external provenance if a downstream deployment needs it.
expert_policy_validation/mjlab_genesis_visual_transfer/artifacts/policy.onnx.data,,REPRODUCIBILITY,ONNX external data is not used by selected collector or student runtime,757248,OMIT_AFTER_REVIEW,Must remain paired with policy.onnx if retained externally.
expert_policy_validation/mjlab_genesis_visual_transfer/scripts/run_validation.py,scripts/imitation_learning/run_expert_validation.py,REPRODUCIBILITY,Expert validation and observation helper,61220,COPY,Imported by final collection and validation scripts.
expert_policy_validation/mjlab_expert_compatibility_gate/scripts/run_expert_compatibility_gate.py,scripts/imitation_learning/run_expert_compatibility_gate.py,REPRODUCIBILITY,Expert compatibility gate and cache setup,99582,COPY,Imported by final collection and validation scripts.
student_bc/linear_output_revision/scripts/train_linear_bc.py,scripts/imitation_learning/train_linear_bc.py,REPRODUCIBILITY,Final linear-output BC training script,17538,COPY,Architecture 48-256-256-12.
student_bc/linear_output_revision/scripts/preflight_linear.py,scripts/imitation_learning/preflight_linear.py,REPRODUCIBILITY,Training preflight and dataset hash gate,11528,COPY,Requires all six split files.
student_bc/linear_output_revision/scripts/evaluate_offline.py,scripts/imitation_learning/evaluate_student_offline.py,REPRODUCIBILITY,Offline student evaluation,19923,COPY,Uses canonical dataset and split files.
student_bc/linear_output_revision/scripts/evaluate_genesis_linear.py,,REPRODUCIBILITY,Redundant earlier student Genesis evaluation path,44652,OMIT_AFTER_REVIEW,Final 43-case benchmark is the selected Genesis evidence and avoids its legacy helper closure.
student_bc/linear_output_revision/scripts/reload_determinism.py,scripts/imitation_learning/reload_determinism.py,REPRODUCIBILITY,Student checkpoint reload determinism check,3449,COPY,Uses selected checkpoint manifest.
student_bc/linear_output_revision/scripts/finalize_linear.py,scripts/imitation_learning/finalize_linear.py,REPRODUCIBILITY,Final student checkpoint verification,13708,COPY,Finalization writes outputs only during a later migration/reproduction run.
student_bc/linear_output_revision/scripts/rewrite_retention_report.py,,REPRODUCIBILITY,Derived retention report helper,3294,OMIT_AFTER_REVIEW,Not needed for selected final result.
student_bc/linear_output_revision/manifests/final_student_manifest.json,configs/imitation/final_student_manifest.json,REPRODUCIBILITY,Final student provenance manifest,6804,COPY,Records selected checkpoint and dataset hashes.
student_bc/linear_output_revision/manifests/selected_checkpoint.json,configs/imitation/selected_checkpoint.json,REPRODUCIBILITY,Selected checkpoint decision,4723,COPY,Seed 2 and epoch 98.
student_bc/linear_output_revision/manifests/offline_gate.json,configs/imitation/offline_gate.json,REPRODUCIBILITY,Offline gate metadata,2359,COPY,Retain with final student verification.
student_bc/linear_output_revision/manifests/closed_loop_result.json,configs/imitation/closed_loop_result.json,REPRODUCIBILITY,Closed-loop gate metadata,3934,COPY,Retain with final student verification.
evidence_miqp_3input_final_yaw_2026_07_06_180804/README_EVIDENCE.md,results/physical/README_EVIDENCE.md,EVIDENCE,Physical evidence package description,871,COPY,Documents final-yaw scope and retained artifacts.
foward 50cm/live_forward_validation_1785516534.csv,data/physical/final_runs/forward/live_forward_validation_1785516534.csv,EVIDENCE,Selected physical forward run 1,76064,COPY,Source folder spelling is preserved only in source path.
foward 50cm/live_forward_validation_1785516572.csv,data/physical/final_runs/forward/live_forward_validation_1785516572.csv,EVIDENCE,Selected physical forward run 2,97951,COPY,No independent metric recomputation performed.
foward 50cm/live_forward_validation_1785516614.csv,data/physical/final_runs/forward/live_forward_validation_1785516614.csv,EVIDENCE,Selected physical forward run 3,62175,COPY,No independent metric recomputation performed.
back50cm/live_forward_validation_1785518673.csv,data/physical/final_runs/backward/live_forward_validation_1785518673.csv,EVIDENCE,Selected physical backward run 1,47888,COPY,No independent metric recomputation performed.
back50cm/live_forward_validation_1785518702.csv,data/physical/final_runs/backward/live_forward_validation_1785518702.csv,EVIDENCE,Selected physical backward run 2,42774,COPY,No independent metric recomputation performed.
back50cm/live_forward_validation_1785518730.csv,data/physical/final_runs/backward/live_forward_validation_1785518730.csv,EVIDENCE,Selected physical backward run 3,31351,COPY,No independent metric recomputation performed.
left 30cm/live_forward_validation_1785517424.csv,data/physical/final_runs/left/live_forward_validation_1785517424.csv,EVIDENCE,Selected physical left run 1,46059,COPY,No independent metric recomputation performed.
left 30cm/live_forward_validation_1785517457.csv,data/physical/final_runs/left/live_forward_validation_1785517457.csv,EVIDENCE,Selected physical left run 2,30136,COPY,No independent metric recomputation performed.
left 30cm/live_forward_validation_1785517481.csv,data/physical/final_runs/left/live_forward_validation_1785517481.csv,EVIDENCE,Selected physical left run 3,27349,COPY,No independent metric recomputation performed.
right30cm/live_forward_validation_1785517727.csv,data/physical/final_runs/right/live_forward_validation_1785517727.csv,EVIDENCE,Selected physical right run 1,54577,COPY,No independent metric recomputation performed.
right30cm/live_forward_validation_1785517751.csv,data/physical/final_runs/right/live_forward_validation_1785517751.csv,EVIDENCE,Selected physical right run 2,46054,COPY,No independent metric recomputation performed.
right30cm/live_forward_validation_1785517771.csv,data/physical/final_runs/right/live_forward_validation_1785517771.csv,EVIDENCE,Selected physical right run 3,30540,COPY,No independent metric recomputation performed.
diagonals/live_forward_validation_1785518575.csv,data/physical/final_runs/diagonal/live_forward_validation_1785518575.csv,EVIDENCE,Selected physical diagonal run 1,22791,COPY,No independent metric recomputation performed.
diagonals/live_forward_validation_1785519411.csv,data/physical/final_runs/diagonal/live_forward_validation_1785519411.csv,EVIDENCE,Selected physical diagonal run 2,46191,COPY,No independent metric recomputation performed.
diagonals/live_forward_validation_1785519870.csv,data/physical/final_runs/diagonal/live_forward_validation_1785519870.csv,EVIDENCE,Selected physical diagonal run 3,81420,COPY,No independent metric recomputation performed.
diagonals/live_forward_validation_1785519929.csv,data/physical/final_runs/diagonal/live_forward_validation_1785519929.csv,EVIDENCE,Selected physical diagonal run 4,32865,COPY,No independent metric recomputation performed.
random_yawHeading/newFilerandomYaw.csv,data/physical/final_runs/target_yaw/newFilerandomYaw.csv,EVIDENCE,Selected physical target-yaw run,135398,COPY,controller_final_yaw is all NaN; preserve raw-evidence caveat.
final_deepc_student/live_ui/reports/final_champion_benchmark.csv,results/genesis/final_champion_benchmark.csv,EVIDENCE,Canonical machine-readable 43-case Genesis result,21622,COPY,Selected canonical benchmark representation; SHA256 23cf0d9bba69067f5cd4e5fdd754331c3541ac5b663a1b89591e90cfb5068511.
final_deepc_student/live_ui/reports/final_champion_benchmark.json,,EVIDENCE,Duplicate generated benchmark representation,111695,OMIT_AFTER_REVIEW,CSV is canonical and freeze JSON is retained separately; JSON contains absolute per-run log paths.
final_deepc_student/live_ui/reports/final_champion_benchmark.md,,EVIDENCE,Duplicate generated human-readable benchmark report,9706,OMIT_AFTER_REVIEW,Regenerate from the selected CSV and benchmark harness if publication needs Markdown.
final_deepc_student/live_ui/reports/final_genesis_champion_freeze.json,results/genesis/final_genesis_champion_freeze.json,EVIDENCE,Frozen Genesis protocol and artifact identity,15417,COPY,Retained separately from canonical per-case CSV; SHA256 e287a5a826f22408ad0b4351bc7c24e9d63cf685dcf2453e070138ab7e5af63e.
catastrophic_command_safety_v2/reports/Final_champion_Genesis_UI_integration.md,,EVIDENCE,Internal UI integration report not part of 43-case benchmark evidence,3695,OMIT_AFTER_REVIEW,Records a separate integration check and notes full rerun was not done.
catastrophic_command_safety_v2/manifests/Final_champion_Genesis_UI_integration_summary.json,,EVIDENCE,Internal UI integration manifest,2805,OMIT_AFTER_REVIEW,Contains machine-local paths and is not needed for selected benchmark.
catastrophic_command_safety_v2/final_safety_refinement/final_champion_genesis_ui/champion_constraint_audit.json,,EVIDENCE,Duplicate constraint audit of retained final audit/config,1258,OMIT_AFTER_REVIEW,Frozen controller identity and retained audit are sufficient.
catastrophic_command_safety_v2/final_safety_refinement/final_champion_genesis_ui/integration_smoke_test.json,,EVIDENCE,Internal UI smoke-test output,4204,OMIT_AFTER_REVIEW,Regenerable and not a benchmark case result.
catastrophic_command_safety_v2/final_safety_refinement/final_champion_genesis_ui/ui_integration_decision.json,,EVIDENCE,Internal UI decision metadata,6193,OMIT_AFTER_REVIEW,Development metadata rather than thesis evidence.
catastrophic_command_safety_v2/final_safety_refinement/final_champion_genesis_ui/ui_vs_final_freeze_equivalence.json,,EVIDENCE,Internal UI equivalence metadata,3508,OMIT_AFTER_REVIEW,Development metadata rather than thesis evidence.
expert_imitation_dataset/reports/final_dataset_report.md,results/genesis/final_dataset_report.md,EVIDENCE,Canonical final imitation-dataset validation report,1690,COPY,Records 120 accepted episodes and 240000 samples.
student_bc/linear_output_revision/reports/final_linear_student_bc_report.md,results/genesis/final_linear_student_bc_report.md,EVIDENCE,Canonical final linear-student report,1897,COPY,Records architecture hash and passing gates.
final_deepc_student/live_ui/app/__init__.py,src/learned_execution/ui/__init__.py,CORE,Package initializer required by final UI imports,60,COPY,Retain as package boundary during migration.
final_deepc_student/live_ui/app/ui_canvas.py,src/learned_execution/ui_canvas.py,CORE,Direct local dependency of final_deepc_ui,11422,COPY,Discovered during recursive UI import audit.
final_deepc_student/target_suite_recovery/controllers/__init__.py,src/learned_execution/controllers/__init__.py,CORE,Package initializer for recovered controller modules,57,COPY,Discovered during runtime package closure audit.
catastrophic_command_safety_v2/final_safety_refinement/final_champion_genesis_ui/__init__.py,src/learned_execution/champion/__init__.py,CORE,Package initializer required by champion adapter imports,596,COPY,Discovered during benchmark runtime closure audit.
scripts/collect_command_teacher_rollouts.py,scripts/imitation_learning/collect_command_teacher_rollouts.py,CORE,Imported by Genesis evaluator for FrozenTeacher and deployment helpers,43647,COPY,Legacy helper closure; later migration should isolate only imported definitions.
scripts/train_command_bc.py,scripts/imitation_learning/train_command_bc.py,CORE,Imported by Genesis evaluator for make_model and make_policy_input,56129,COPY,Legacy helper closure; later migration should isolate only imported definitions.
expert_imitation_dataset/splits/train_indices.npz,data/imitation/splits/train_indices.npz,REPRODUCIBILITY,Actual train row-index split required by BC,292020,COPY,Discovered because linear_bc_common loads this file directly.
expert_imitation_dataset/splits/val_indices.npz,data/imitation/splits/val_indices.npz,REPRODUCIBILITY,Actual validation row-index split required by BC,37253,COPY,Discovered because linear_bc_common loads this file directly.
expert_imitation_dataset/splits/test_indices.npz,data/imitation/splits/test_indices.npz,REPRODUCIBILITY,Actual test row-index split required by offline evaluation,37249,COPY,Discovered because linear_bc_common loads this file directly.
expert_imitation_dataset/splits/train_episode_ids.txt,data/imitation/splits/train_episode_ids.txt,REPRODUCIBILITY,Train episode membership required by preflight,1248,COPY,Discovered because preflight reads the file directly.
expert_imitation_dataset/splits/val_episode_ids.txt,data/imitation/splits/val_episode_ids.txt,REPRODUCIBILITY,Validation episode membership required by preflight,156,COPY,Discovered because preflight reads the file directly.
expert_imitation_dataset/splits/test_episode_ids.txt,data/imitation/splits/test_episode_ids.txt,REPRODUCIBILITY,Test episode membership required by preflight,156,COPY,Discovered because preflight reads the file directly.
catastrophic_command_safety_v2/runtime_recovery/r3_python312_genesis131/reconstruction/venv/lib/python3.12/site-packages/genesis/assets/urdf/go2/urdf/go2.urdf,external Genesis 1.3.1 asset urdf/go2/urdf/go2.urdf,CORE,Required Go2 robot description,24170,EXTERNAL_ARCHIVE,Do not copy blindly; obtain from pinned Genesis 1.3.1 setup and verify SHA256 4f306754e9b3d73930ac8362aa456eb8912f2e886665618e7eced9627c1704a4.
catastrophic_command_safety_v2/runtime_recovery/r3_python312_genesis131/reconstruction/venv/lib/python3.12/site-packages/genesis/assets/urdf/plane/plane.urdf,external Genesis 1.3.1 asset urdf/plane/plane.urdf,CORE,Required plane robot description,691,EXTERNAL_ARCHIVE,Do not copy blindly; obtain from pinned Genesis 1.3.1 setup and verify SHA256 be1a566d558bd89cabfee5b65d13f3c76acd4c009e3eb8830b369b2dfa079d29.
catastrophic_command_safety_v2/runtime_recovery/r3_python312_genesis131/reconstruction/venv/lib/python3.12/site-packages/genesis/assets/urdf/go2/dae/base.dae,external Genesis 1.3.1 asset urdf/go2/dae/base.dae,CORE,Mesh referenced by the Go2 URDF,10727399,EXTERNAL_ARCHIVE,Obtain with the pinned Genesis package; SHA256 e52bebbb5c7ff1f6aedee620c9b5b349f6e965360ecc63a9bb743eeff2d0be64.
catastrophic_command_safety_v2/runtime_recovery/r3_python312_genesis131/reconstruction/venv/lib/python3.12/site-packages/genesis/assets/urdf/go2/dae/calf.dae,external Genesis 1.3.1 asset urdf/go2/dae/calf.dae,CORE,Mesh referenced by the Go2 URDF,1125517,EXTERNAL_ARCHIVE,Obtain with the pinned Genesis package; SHA256 29872fa1a435b92bc2b395fdfa7f0aee26101db3c494681896bd4ef24ee7883c.
catastrophic_command_safety_v2/runtime_recovery/r3_python312_genesis131/reconstruction/venv/lib/python3.12/site-packages/genesis/assets/urdf/go2/dae/calf_mirror.dae,external Genesis 1.3.1 asset urdf/go2/dae/calf_mirror.dae,CORE,Mesh referenced by the Go2 URDF,1125457,EXTERNAL_ARCHIVE,Obtain with the pinned Genesis package; SHA256 79c66be7ed06760bd5001c067a1fb0ac517f639d8b1a5f89be471903b3f359e1.
catastrophic_command_safety_v2/runtime_recovery/r3_python312_genesis131/reconstruction/venv/lib/python3.12/site-packages/genesis/assets/urdf/go2/dae/foot.dae,external Genesis 1.3.1 asset urdf/go2/dae/foot.dae,CORE,Mesh referenced by the Go2 URDF,506988,EXTERNAL_ARCHIVE,Obtain with the pinned Genesis package; SHA256 ffbd95fd641866ce9bd277aa249b92dafc9148d70131fa2c52709a35ce5b710b.
catastrophic_command_safety_v2/runtime_recovery/r3_python312_genesis131/reconstruction/venv/lib/python3.12/site-packages/genesis/assets/urdf/go2/dae/hip.dae,external Genesis 1.3.1 asset urdf/go2/dae/hip.dae,CORE,Mesh referenced by the Go2 URDF,4666421,EXTERNAL_ARCHIVE,Obtain with the pinned Genesis package; SHA256 8735e10617afe252cef0844c1d139d15bc6d4c653660d742fea9fe05c2704d8f.
catastrophic_command_safety_v2/runtime_recovery/r3_python312_genesis131/reconstruction/venv/lib/python3.12/site-packages/genesis/assets/urdf/go2/dae/thigh.dae,external Genesis 1.3.1 asset urdf/go2/dae/thigh.dae,CORE,Mesh referenced by the Go2 URDF,3884136,EXTERNAL_ARCHIVE,Obtain with the pinned Genesis package; SHA256 a622381ae308897ff143b8bbf02f075457c342b22984205040424a5a983246fa.
