source_path,classification,proposed_destination,reason,size_bytes,required_by,notes
catastrophic_command_safety_v2/final_safety_refinement/final_champion_genesis_ui/physical_guard.py,CORE,src/learned_execution/genesis_guard.py,Genesis-only runtime guard,2713,genesis-champion,Keep the physical-use exclusion behavior.
final_deepc_student/live_ui/app/genesis_window.py,CORE,src/learned_execution/genesis_window.py,Viewer-enabled Genesis scene used by live product,10582,genesis-champion,Uses installed Genesis URDF assets and /tmp cache.
final_deepc_student/live_ui/app/ui_state.py,CORE,src/learned_execution/ui_state.py,UI pose/error state helpers,4115,genesis-champion,Optional live UI component but included in final integration chain.
final_deepc_student/live_ui/app/ui_runtime_bridge.py,CORE,src/learned_execution/ui_runtime_bridge.py,UI-to-runtime bridge and command identity checks,13598,genesis-champion,Optional live UI component; preserve no-rewrite identity checks.
final_deepc_student/live_ui/app/final_deepc_ui.py,CORE,src/learned_execution/final_deepc_ui.py,Final target and heading UI,30851,genesis-champion,Requires Tkinter/display review.
final_deepc_student/live_ui/scripts/run_live_product.py,CORE,scripts/genesis/run_live_product.py,Selected live product launcher,36228,genesis-champion,Imports across multiple Go2Project sibling trees and must be collapsed.
student_bc/linear_output_revision/scripts/linear_bc_common.py,CORE,src/learned_execution/linear_bc_common.py,Frozen student dimensions decoder and normalization helpers,11576,il-pipeline;genesis-champion,Defines 48-input and 12-output contract; SHA recorded in Genesis freeze.
evidence_miqp_3input_final_yaw_2026_07_06_180804/hankels/dog2_vxyyaw_hankel_Tini10_N20_BACKWARD_2026_07_06.npz,CORE,data/physical/hankel/dog2_vxyyaw_hankel_Tini10_N20_BACKWARD_2026_07_06.npz,One of the two explicitly final physical Hankel banks,10221512,physical-final,SHA256 6928fa66425ddc65399080d27acac42042b70bdedd645bfa460b80b0538b3cf7; 3548 columns.
evidence_miqp_3input_final_yaw_2026_07_06_180804/hankels/dog2_vxyyaw_hankel_Tini10_N20_BALANCED_YAW_BACK_2026_07_06.npz,CORE,data/physical/hankel/dog2_vxyyaw_hankel_Tini10_N20_BALANCED_YAW_BACK_2026_07_06.npz,Second explicitly final physical Hankel bank for balanced yaw behavior,2595272,physical-final,SHA256 0ad50305d200811eab41008f242630f8e4ead592f0a9bda2f5527678499073f3; 900 columns.
final_deepc_student/target_suite_recovery/data/hankel/final_student_deepc_hankel_v2_stride2.npz,CORE,data/imitation/hankel/final_student_deepc_hankel_v2_stride2.npz,Selected Genesis DeePC Hankel bank,377543,genesis-champion,SHA256 5ece444b2d82a75df6b751809d2b5f5c1aacfe06cc69a0919fa21532804bfb7b; distinct from both physical banks.
student_bc/linear_output_revision/checkpoints/final/go2_observable_student_bc_linear_v1.pt,CORE,models/go2_observable_student_bc_linear_v1.pt,Selected learned student checkpoint,333509,genesis-champion,SHA256 6169c02e924dfb09078d9cba63e4071abd11a477ab2b104e92506df7ce0ed7cc; architecture 48-256-256-12.
scripts/evaluate_command_bc_genesis.py,CORE,src/learned_execution/genesis_deployment_scene.py,Genesis deployment scene and contract evaluator imported by final runtime,92710,genesis-champion,Also imports historical scripts.collect_command_teacher_rollouts and scripts.train_command_bc; isolate or migrate those dependencies.
catastrophic_command_safety_v2/final_safety_refinement/pre_s6_minimal_safety_fix/candidate_config.json,CORE,configs/genesis/candidate_config.json,Frozen C2_PLUS_VX configuration,3171,genesis-champion,SHA256 164230755a3cb3371453f9133223ceddffb7fb09ff794a51e0a6898aa691f827.
final_deepc_student/target_suite_recovery/configs/deepc_final_recovered.json,CORE,configs/genesis/deepc_final_recovered.json,Frozen DeePC parameters and source contract,1229,genesis-champion,SHA256 e1e105316ebc6a5b7f66e15821ec2e780eacda306b0711d9e478dc912c9ddd26.
catastrophic_command_safety_v2/configs/frozen_runtime_contract.json,CORE,configs/genesis/frozen_runtime_contract.json,Frozen Genesis runtime contract,16440,genesis-champion,SHA256 55ad3104db92a90a91e3dbefae5b1ac7344504ba2d29a1a76edf0de077ffd78b.
final_deepc_student/live_ui/configs/ui_config.json,CORE,configs/genesis/ui_config.json,Selected target/UI configuration,1386,genesis-champion,SHA256 7f6d8ac0de2241357fffaadbd5fcf5f63792be3d13faa287b9612baa0249c19e.
deadzoneQuantized/build_dog2_vxyyaw_hankel.py,REPRODUCIBILITY,scripts/physical/build_vxyyaw_hankel.py,Physical Hankel build recipe,2904,physical-final,Uses relative working-directory inputs and creates a dated non-final bank; parameterize paths before reuse.
deadzoneQuantized/correct_center_and_rebuild_hankel.py,REPRODUCIBILITY,scripts/physical/correct_center_and_rebuild_hankel.py,Center correction and rebuild recipe,9562,physical-final,Historical 2-input output names appear in this script; preserve only as provenance unless reconciled with final 3-input bank.
collect_dog2_vxyyaw_dataset.py,REPRODUCIBILITY,scripts/physical/collect_vxyyaw_dataset.py,Physical increment-data collection helper,2222,physical-final,Project-root relative path assumptions.
deadzoneQuantized/go2_center_correction_report.json,REPRODUCIBILITY,results/physical/go2_center_correction_report.json,Center correction provenance,2887,physical-final,Supports Hankel provenance; not a run success denominator.
final_deepc_student/target_suite_recovery/scripts/validate_direct_student_interface.py,REPRODUCIBILITY,scripts/genesis/validate_direct_student_interface.py,Selected student/DeePC interface check,8642,genesis-champion,Uses target-suite sibling paths.
final_deepc_student/target_suite_recovery/scripts/finalize_reports.py,REPRODUCIBILITY,scripts/genesis/finalize_reports.py,Selected benchmark report finalization helper,15306,genesis-champion,Keep only if report regeneration is required.
final_deepc_student/live_ui/benchmarks/final_champion_benchmark.py,REPRODUCIBILITY,scripts/genesis/final_champion_benchmark.py,43-case frozen benchmark harness,54075,genesis-champion,SHA256 458ba60c49e921dd87a135659e4fcf13f63faba362cebcf8888f470017f1f145; repo-relative source constants still span multiple branches.
catastrophic_command_safety_v2/final_safety_refinement/final_champion_genesis_ui/run_ui_integration.py,REPRODUCIBILITY,scripts/genesis/run_ui_integration.py,Final Genesis UI integration harness,53796,genesis-champion,Launches from Go2Project layout and references recovery runtime.
catastrophic_command_safety_v2/runtime_recovery/r3_python312_genesis131/reconstruction/recovery_launcher.py,REPRODUCIBILITY,scripts/genesis/recovery_launcher.py,Runtime reconstruction launcher,1970,genesis-champion,Records the external Python 3.12/Genesis 1.3.1 environment; not a portable venv.
catastrophic_command_safety_v2/final_safety_refinement/pre_s6_minimal_safety_fix/candidate_decision.json,REPRODUCIBILITY,results/genesis/audits/candidate_decision.json,Frozen candidate selection decision,1874,genesis-champion,Preserve as audit metadata.
catastrophic_command_safety_v2/final_safety_refinement/pre_s6_minimal_safety_final_validation/final_constraint_audit.json,REPRODUCIBILITY,results/genesis/audits/final_constraint_audit.json,Constraint activation audit,1177,genesis-champion,Records C2 active and later safety paths inactive.
expert_imitation_dataset/scripts/collect_expert_dataset.py,REPRODUCIBILITY,scripts/imitation_learning/collect_expert_dataset.py,120-episode expert dataset collector,45227,il-pipeline,Imports Genesis compatibility and student contract modules.
expert_imitation_dataset/scripts/dataset_common.py,REPRODUCIBILITY,scripts/imitation_learning/dataset_common.py,Dataset hashes and environment helper,6435,il-pipeline,Uses project-root-relative expert_imitation_dataset path.
expert_imitation_dataset/scripts/validate_expert_dataset.py,REPRODUCIBILITY,scripts/imitation_learning/validate_expert_dataset.py,Dataset schema and safety validator,42864,il-pipeline,Imports deepc_go2.genesis_walking.contracts and compatibility reports.
expert_imitation_dataset/scripts/build_episode_splits.py,REPRODUCIBILITY,scripts/imitation_learning/build_episode_splits.py,Episode-disjoint split builder,19358,il-pipeline,Produces 96/12/12 episode split.
expert_imitation_dataset/frozen_contract/dataset_schema.md,REPRODUCIBILITY,docs/dataset_schema.md,Frozen processed dataset schema,4236,il-pipeline,Authoritative contract document.
expert_imitation_dataset/frozen_contract/expert_contract_reference.md,REPRODUCIBILITY,docs/expert_contract_reference.md,Frozen expert provenance contract,3068,il-pipeline,References expert checkpoint and compatibility evidence.
expert_imitation_dataset/frozen_contract/student_observation_contract.md,REPRODUCIBILITY,docs/student_observation_contract.md,Frozen observable student contract,6324,il-pipeline,References src/deepc_go2 contract; rewrite link on migration.
expert_imitation_dataset/manifests/collection_config.json,REPRODUCIBILITY,configs/imitation/collection_config.json,Collection parameters for 120 episodes,1034,il-pipeline,50 Hz; 2000 steps per episode; seed base 2026081600.
expert_imitation_dataset/manifests/split_manifest.json,REPRODUCIBILITY,configs/imitation/split_manifest.json,Episode-disjoint split specification,5061,il-pipeline,80/10/10 train/validation/test with seed 20260816.
expert_imitation_dataset/manifests/episode_manifest.json,REPRODUCIBILITY,configs/imitation/episode_manifest.json,Raw episode manifest and hashes,999431,il-pipeline,Large metadata file; retain if exact raw episode provenance is required.
expert_imitation_dataset/manifests/dataset_hashes.json,REPRODUCIBILITY,configs/imitation/dataset_hashes.json,Dataset hash manifest,17502,il-pipeline,Processed dataset hash is 7c6da8cf8987711f099d01976b594b3119322158c3f750f4cdd71158c9c4ac99.
expert_imitation_dataset/manifests/expert_artifact_manifest.json,REPRODUCIBILITY,configs/imitation/expert_artifact_manifest.json,Expert and Genesis asset provenance manifest,10474,il-pipeline,Records control decoder and external URDF hashes.
expert_imitation_dataset/raw/episode_*.npz,REPRODUCIBILITY,data/imitation/raw/episode_*.npz,120 accepted raw episodes,248955375,il-pipeline,Aggregate bytes for 120 files; no individual raw episode exceeds 10 MB.
expert_imitation_dataset/processed/expert_imitation_dataset_v1.npz,REPRODUCIBILITY,data/imitation/expert_imitation_dataset_v1.npz,Canonical 240000-transition processed dataset,246636478,il-pipeline,SHA256 7c6da8cf8987711f099d01976b594b3119322158c3f750f4cdd71158c9c4ac99; >100 MB.
expert_policy_validation/mjlab_genesis_visual_transfer/artifacts/model_500.pt,REPRODUCIBILITY,models/expert_model_500.pt,Expert checkpoint used for collection,4569571,il-pipeline,SHA256 c5d125be84ecedf8c6d89ece8d12d7c1d6d8d081f304da3dd12f734944248eb3; not the final student.
expert_policy_validation/mjlab_genesis_visual_transfer/configs/agent.yaml,REPRODUCIBILITY,configs/imitation/expert/agent.yaml,Expert agent configuration,936,il-pipeline,Referenced by artifact manifest.
expert_policy_validation/mjlab_genesis_visual_transfer/configs/deploy.yaml,REPRODUCIBILITY,configs/imitation/expert/deploy.yaml,Expert deployment configuration,1392,il-pipeline,Referenced by artifact manifest.
expert_policy_validation/mjlab_genesis_visual_transfer/configs/env.yaml,REPRODUCIBILITY,configs/imitation/expert/env.yaml,Expert environment configuration,22339,il-pipeline,Genesis/environment version assumptions remain.
expert_policy_validation/mjlab_genesis_visual_transfer/artifacts/policy.onnx,REPRODUCIBILITY,models/expert_policy.onnx,Auxiliary expert policy artifact,14196,il-pipeline,Not needed by final student runtime; retain for collection provenance.
expert_policy_validation/mjlab_genesis_visual_transfer/artifacts/policy.onnx.data,REPRODUCIBILITY,models/expert_policy.onnx.data,ONNX external data,757248,il-pipeline,Must remain paired with policy.onnx if retained.
expert_policy_validation/mjlab_genesis_visual_transfer/scripts/run_validation.py,REPRODUCIBILITY,scripts/imitation_learning/run_expert_validation.py,Expert validation and observation helper,61220,il-pipeline,Imports installed Genesis/MJLab stack.
expert_policy_validation/mjlab_expert_compatibility_gate/scripts/run_expert_compatibility_gate.py,REPRODUCIBILITY,scripts/imitation_learning/run_expert_compatibility_gate.py,Expert compatibility gate and cache setup,99582,il-pipeline,Keep only the modules needed by collection/validation imports.
student_bc/linear_output_revision/scripts/train_linear_bc.py,REPRODUCIBILITY,scripts/imitation_learning/train_linear_bc.py,Final linear-output BC training script,17538,il-pipeline,Architecture 48-256-256-12 with ELU hidden and linear output.
student_bc/linear_output_revision/scripts/preflight_linear.py,REPRODUCIBILITY,scripts/imitation_learning/preflight_linear.py,Training preflight and dataset hash gate,11528,il-pipeline,Validates dataset and split integrity.
student_bc/linear_output_revision/scripts/evaluate_offline.py,REPRODUCIBILITY,scripts/imitation_learning/evaluate_student_offline.py,Offline student evaluation,19923,il-pipeline,Uses frozen dataset/splits.
student_bc/linear_output_revision/scripts/evaluate_genesis_linear.py,REPRODUCIBILITY,scripts/imitation_learning/evaluate_student_genesis.py,Genesis student evaluation,44652,il-pipeline,Imports root scripts and expert compatibility helpers.
student_bc/linear_output_revision/scripts/reload_determinism.py,REPRODUCIBILITY,scripts/imitation_learning/reload_determinism.py,Checkpoint reload determinism check,3449,il-pipeline,Uses selected checkpoint manifest.
student_bc/linear_output_revision/scripts/finalize_linear.py,REPRODUCIBILITY,scripts/imitation_learning/finalize_linear.py,Final checkpoint verification/finalization,13708,il-pipeline,Writes files and therefore is not part of a read-only audit run.
student_bc/linear_output_revision/scripts/rewrite_retention_report.py,REPRODUCIBILITY,scripts/imitation_learning/rewrite_retention_report.py,Student retention report helper,3294,il-pipeline,Optional report regeneration utility.
student_bc/linear_output_revision/manifests/final_student_manifest.json,REPRODUCIBILITY,configs/imitation/final_student_manifest.json,Final student provenance manifest,6804,il-pipeline,Records checkpoint/dataset/training metadata.
student_bc/linear_output_revision/manifests/selected_checkpoint.json,REPRODUCIBILITY,configs/imitation/selected_checkpoint.json,Selected checkpoint decision,4723,il-pipeline,Seed 2 and selected epoch 98.
student_bc/linear_output_revision/manifests/offline_gate.json,REPRODUCIBILITY,configs/imitation/offline_gate.json,Offline gate result metadata,2359,il-pipeline,Keep with final student verification.
student_bc/linear_output_revision/manifests/closed_loop_result.json,REPRODUCIBILITY,configs/imitation/closed_loop_result.json,Closed-loop gate result metadata,3934,il-pipeline,Keep with final student verification.
evidence_miqp_3input_final_yaw_2026_07_06_180804/README_EVIDENCE.md,EVIDENCE,results/physical/README_EVIDENCE.md,Physical evidence package description,871,physical-final,States final-yaw scope and retained artifacts.
foward 50cm/live_forward_validation_1785516534.csv,EVIDENCE,data/physical/final_runs/forward/live_forward_validation_1785516534.csv,Physical forward run 1,76064,physical-final,Source folder spelling preserved in source; destination spelling normalized.
foward 50cm/live_forward_validation_1785516572.csv,EVIDENCE,data/physical/final_runs/forward/live_forward_validation_1785516572.csv,Physical forward run 2,97951,physical-final,Category evidence only; no independent metric recomputation.
foward 50cm/live_forward_validation_1785516614.csv,EVIDENCE,data/physical/final_runs/forward/live_forward_validation_1785516614.csv,Physical forward run 3,62175,physical-final,Category evidence only; no independent metric recomputation.
back50cm/live_forward_validation_1785518673.csv,EVIDENCE,data/physical/final_runs/backward/live_forward_validation_1785518673.csv,Physical backward run 1,47888,physical-final,Category evidence only; no independent metric recomputation.
back50cm/live_forward_validation_1785518702.csv,EVIDENCE,data/physical/final_runs/backward/live_forward_validation_1785518702.csv,Physical backward run 2,42774,physical-final,Category evidence only; no independent metric recomputation.
back50cm/live_forward_validation_1785518730.csv,EVIDENCE,data/physical/final_runs/backward/live_forward_validation_1785518730.csv,Physical backward run 3,31351,physical-final,Category evidence only; no independent metric recomputation.
left 30cm/live_forward_validation_1785517424.csv,EVIDENCE,data/physical/final_runs/left/live_forward_validation_1785517424.csv,Physical left run 1,46059,physical-final,Category evidence only; no independent metric recomputation.
left 30cm/live_forward_validation_1785517457.csv,EVIDENCE,data/physical/final_runs/left/live_forward_validation_1785517457.csv,Physical left run 2,30136,physical-final,Category evidence only; no independent metric recomputation.
left 30cm/live_forward_validation_1785517481.csv,EVIDENCE,data/physical/final_runs/left/live_forward_validation_1785517481.csv,Physical left run 3,27349,physical-final,Category evidence only; no independent metric recomputation.
right30cm/live_forward_validation_1785517727.csv,EVIDENCE,data/physical/final_runs/right/live_forward_validation_1785517727.csv,Physical right run 1,54577,physical-final,Category evidence only; no independent metric recomputation.
right30cm/live_forward_validation_1785517751.csv,EVIDENCE,data/physical/final_runs/right/live_forward_validation_1785517751.csv,Physical right run 2,46054,physical-final,Category evidence only; no independent metric recomputation.
right30cm/live_forward_validation_1785517771.csv,EVIDENCE,data/physical/final_runs/right/live_forward_validation_1785517771.csv,Physical right run 3,30540,physical-final,Category evidence only; no independent metric recomputation.
diagonals/live_forward_validation_1785518575.csv,EVIDENCE,data/physical/final_runs/diagonal/live_forward_validation_1785518575.csv,Physical diagonal run 1,22791,physical-final,Category evidence only; no independent metric recomputation.
diagonals/live_forward_validation_1785519411.csv,EVIDENCE,data/physical/final_runs/diagonal/live_forward_validation_1785519411.csv,Physical diagonal run 2,46191,physical-final,Category evidence only; no independent metric recomputation.
diagonals/live_forward_validation_1785519870.csv,EVIDENCE,data/physical/final_runs/diagonal/live_forward_validation_1785519870.csv,Physical diagonal run 3,81420,physical-final,Category evidence only; no independent metric recomputation.
diagonals/live_forward_validation_1785519929.csv,EVIDENCE,data/physical/final_runs/diagonal/live_forward_validation_1785519929.csv,Physical diagonal run 4,32865,physical-final,Category evidence only; no independent metric recomputation.
random_yawHeading/newFilerandomYaw.csv,EVIDENCE,data/physical/final_runs/target_yaw/newFilerandomYaw.csv,Physical final-yaw target evidence,135398,physical-final,controller_final_yaw column is all NaN; preserve as raw evidence with caveat.
final_deepc_student/live_ui/reports/final_champion_benchmark.csv,EVIDENCE,results/genesis/final_champion_benchmark.csv,Machine-readable 43-case Genesis benchmark,21622,genesis-champion,SHA256 23cf0d9bba69067f5cd4e5fdd754331c3541ac5b663a1b89591e90cfb5068511.
final_deepc_student/live_ui/reports/final_champion_benchmark.json,EVIDENCE,results/genesis/final_champion_benchmark.json,Full Genesis benchmark result and provenance,111695,genesis-champion,SHA256 8d9cebe00544cf11a7a21ff086f7f947e866a2cca4b22ac57e5e8ec2ea561cd3; contains absolute per-run log paths.
final_deepc_student/live_ui/reports/final_champion_benchmark.md,EVIDENCE,results/genesis/final_champion_benchmark.md,Human-readable Genesis benchmark report,9706,genesis-champion,SHA256 5fd28dd0044847d0a6959c9d809669ba2a7e53cd8435ea21aea7338985324c7a; reports 24/43 reaching.
final_deepc_student/live_ui/reports/final_genesis_champion_freeze.json,EVIDENCE,results/genesis/final_genesis_champion_freeze.json,Frozen Genesis benchmark identity and environment,15417,genesis-champion,SHA256 e287a5a826f22408ad0b4351bc7c24e9d63cf685dcf2453e070138ab7e5af63e.
catastrophic_command_safety_v2/reports/Final_champion_Genesis_UI_integration.md,EVIDENCE,results/genesis/Final_champion_Genesis_UI_integration.md,Final UI integration report,3695,genesis-champion,Reports Genesis-only integration pass; full 18-episode validation rerun was not done.
catastrophic_command_safety_v2/manifests/Final_champion_Genesis_UI_integration_summary.json,EVIDENCE,results/genesis/Final_champion_Genesis_UI_integration_summary.json,UI integration summary manifest,2805,genesis-champion,Contains absolute Go2Project launch paths and physical_go2 NO.
catastrophic_command_safety_v2/final_safety_refinement/final_champion_genesis_ui/champion_constraint_audit.json,EVIDENCE,results/genesis/audits/champion_constraint_audit.json,Champion constraint audit result,1258,genesis-champion,Supports solver-side C2/vx identity.
catastrophic_command_safety_v2/final_safety_refinement/final_champion_genesis_ui/integration_smoke_test.json,EVIDENCE,results/genesis/audits/integration_smoke_test.json,Genesis integration smoke result,4204,genesis-champion,Keep as selected integration evidence.
catastrophic_command_safety_v2/final_safety_refinement/final_champion_genesis_ui/ui_integration_decision.json,EVIDENCE,results/genesis/audits/ui_integration_decision.json,UI integration decision record,6193,genesis-champion,Selected champion UI decision.
catastrophic_command_safety_v2/final_safety_refinement/final_champion_genesis_ui/ui_vs_final_freeze_equivalence.json,EVIDENCE,results/genesis/audits/ui_vs_final_freeze_equivalence.json,UI versus final freeze equivalence record,3508,genesis-champion,Preserve with integration audit.
expert_imitation_dataset/reports/final_dataset_report.md,EVIDENCE,results/genesis/final_dataset_report.md,Final dataset validation report,1690,il-pipeline,Records 120/120 accepted and 240000 samples.
student_bc/linear_output_revision/reports/final_linear_student_bc_report.md,EVIDENCE,results/genesis/final_linear_student_bc_report.md,Final linear student BC report,1897,il-pipeline,Records final architecture; hash; and passing gates.
deadzoneQuantized/deadzone_miqp_deepc_preview_solver_3INPUT_DOG2.py,EXCLUDE,,Duplicate of frozen evidence solver source,17582,none,Same SHA as evidence source; avoid duplicate release copies.
deadzoneQuantized/miqp_online_receding_deepc_controller.py,EXCLUDE,,Older physical online controller,15029,none,Uses older 2026-06-19 Hankel path and is not the final-yaw source.
evidence_miqp_3input_final_yaw_2026_07_06_180804.zip,EXCLUDE,,Archive duplicate of physical evidence directory,3072008,none,Keep the unpacked selected files only.
FINAL_mode_switched_textbook_deepc_2026_06_16/**/final_success_csvs/*.csv,EXCLUDE,,Older hybrid mode-switched physical logs,,none,Not the 17-file final physical set.
mode_switched_textbook_deepc/**/final_success_csvs/*.csv,EXCLUDE,,Older hybrid mode-switched physical logs,,none,Not the 17-file final physical set.
evidence_miqp_3input_final_yaw_2026_07_06_180804/latest_outputs/*,EXCLUDE,,Intermediate solver and validation outputs,,none,Do not include as final denominator evidence.
random_yawHeading/live_forward_validation_1785520715.csv,EXCLUDE,,Other random-yaw folder output,419240,none,Ordinary forward log; not selected target-yaw file.
random_yawHeading/videoYaw.csv,EXCLUDE,,Other random-yaw folder output,150919,none,Ordinary video log; not selected target-yaw file.
parallel_closed_loop_il/datasets/D_parallel_v1/D_parallel_v1.npz,EXCLUDE,,Historical parallel/DAgger dataset,183572185,none,Large >100 MB alternative branch; not final linear BC dataset.
expert_imitation_dataset/plots/*.png,EXCLUDE,,Regenerable dataset plots,,none,Derived visualizations are not needed for runtime or reproducibility core.
expert_imitation_dataset/**/__pycache__/*,EXCLUDE,,Python bytecode cache,,none,Generated cache.
.venv/**,EXCLUDE,,Project virtual environment,,none,Environment is not portable release source.
deepdeeps_env/**,EXCLUDE,,Project virtual environment,,none,Environment is not portable release source.
.route_b_numpy20/**,EXCLUDE,,Numerical/cache workspace,,none,Generated cache and scratch outputs.
.ruff_cache/**,EXCLUDE,,Lint cache,,none,Generated cache.
.pytest_cache/**,EXCLUDE,,Test cache,,none,Generated cache.
archive_cleanup_2026_06_16/**,EXCLUDE,,Archived cleanup snapshot,,none,Historical duplicate tree.
archive_miqp_live_success_20260618_185500/**,EXCLUDE,,Archived MIQP snapshot,,none,Historical duplicate tree.
GEM_standing_extension_attempt_1_files.zip,EXCLUDE,,Unrelated archive bundle,309472897,none,Large archive and unrelated experiment.
mac_transfer_preparation/go2_genesis_mac_transfer_bundle.tar.gz,EXCLUDE,,Transfer archive,254164422,none,Large archive and environment bundle.
U4*/**;U5*/**;B2*/**;B3*/**;S0*/**;S1*/**;S2*/**;S3*/**;S4*/**;S5*/**;S6*/**;S7*/**;P*/**,EXCLUDE,,Historical candidate families,,none,Exclude unless a later thesis citation names an exact artifact.
datasets/*.npz,EXCLUDE,,Historical teacher/DAgger dataset family,,none,Do not confuse these with expert_imitation_dataset/processed canonical data.
kine2go_work/**/telemetry/*.csv,EXCLUDE,,Large historical telemetry family,,none,Generated experiments and not the selected 17 physical CSVs.
**/*.mp4;**/*.avi;**/*.png;**/*.jpg;**/*.jpeg;**/*.gif,EXCLUDE,,Generated media and plots,,none,Derived media; retain only by explicit thesis figure request.
**/*.log;**/*.jsonl,EXCLUDE,,Generated runtime logs,,none,Per-run logs referenced by final JSON are not copied by the inventory pass.
student_bc/**/checkpoints/*,EXCLUDE,,Historical student checkpoint family,,none,Use only linear_output_revision/checkpoints/final selected checkpoint.
final_deepc_student/target_suite_recovery/frozen_baseline/**,EXCLUDE,,Historical Genesis recovery baseline,,none,Do not mix with the selected C2_PLUS_VX freeze.
